              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
      -4.496       3.318      16.776      47.697
      -2.491       3.280      16.802      47.697
      -0.487       3.242      16.829      47.697
       1.525       3.205      16.856      47.698
       3.529       3.170      16.882      47.698
       5.534       3.134      16.909      47.698
       7.538       3.100      16.936      47.699
       9.543       3.054      16.963      47.699
      11.547       3.021      16.989      47.699
      13.552       2.989      17.016      47.700
      15.563       2.946      17.043      47.700
      17.568       2.915      17.069      47.700
      19.572       2.873      17.096      47.700
      21.576       2.833      17.123      47.700
      23.580       2.804      17.150      47.701
      25.584       2.765      17.176      47.701
      27.596       2.725      17.203      47.701
      29.600       2.688      17.230      47.701
      31.604       2.650      17.257      47.701
      33.608       2.614      17.283      47.702
      35.613       2.578      17.310      47.702
      37.624       2.543      17.337      47.702
      39.629       2.508      17.363      47.702
      41.633       2.474      17.390      47.702
      43.637       2.430      17.417      47.703
      45.641       2.398      17.444      47.703
      47.652       2.355      17.470      47.703
      49.656       2.324      17.497      47.703
      51.660       2.283      17.524      47.703
      53.665       2.253      17.550      47.703
      55.669       2.214      17.577      47.703
      57.680       2.174      17.604      47.704
      59.684       2.136      17.631      47.704
      61.688       2.098      17.657      47.704
      63.692       2.072      17.684      47.704
      65.696       2.024      17.711      47.704
      67.707       1.989      17.737      47.704
      69.711       1.954      17.764      47.704
      71.715       1.919      17.791      47.704
      73.719       1.886      17.818      47.704
      75.723       1.842      17.844      47.704
      77.735       1.809      17.871      47.704
      79.739       1.778      17.898      47.705
      81.742       1.736      17.924      47.705
      83.746       1.695      17.951      47.705
      85.758       1.666      17.978      47.705
      87.762       1.626      18.005      47.705
      89.766       1.587      18.031      47.705
      91.769       1.549      18.058      47.705
      93.774       1.522      18.085      47.705
      95.785       1.485      18.112      47.705
      97.789       1.449      18.138      47.705
      99.793       1.402      18.165      47.705
     101.797       1.367      18.192      47.705
     103.808       1.333      18.219      47.705
     105.812       1.300      18.245      47.705
     107.816       1.256      18.272      47.705
     109.820       1.224      18.299      47.705
     111.824       1.193      18.325      47.705
     113.835       1.150      18.352      47.704
     115.839       1.109      18.379      47.704
     117.843       1.080      18.406      47.704
     119.847       1.041      18.432      47.704
     121.851       1.002      18.459      47.704
     123.862       0.964      18.486      47.704
     125.866       0.926      18.512      47.704
     127.870       0.900      18.539      47.704
     129.874       0.853      18.566      47.704
     131.886       0.818      18.593      47.704
     133.890       0.783      18.619      47.704
     135.894       0.749      18.646      47.703
     137.898       0.716      18.673      47.703
     139.902       0.672      18.699      47.703
     141.913       0.640      18.726      47.703
     143.917       0.598      18.753      47.703
     145.922       0.567      18.780      47.703
     147.926       0.526      18.806      47.703
     149.930       0.497      18.833      47.702
     151.941       0.458      18.860      47.702
     153.945       0.419      18.886      47.702
     155.950       0.381      18.913      47.702
     157.954       0.344      18.940      47.702
     159.958       0.307      18.967      47.701
     161.962       0.271      18.993      47.701
     163.974       0.236      19.020      47.701
     165.978       0.201      19.047      47.701
     167.982       0.167      19.073      47.701
     169.986       0.123      19.100      47.700
     171.991       0.091      19.127      47.700
     174.003       0.059      19.154      47.700
     176.007       0.017      19.180      47.700
     178.011      -0.013      19.207      47.700
     180.016      -0.054      19.234      47.699
     182.020      -0.094      19.260      47.699
     184.024      -0.122      19.287      47.699
     186.029      -0.161      19.314      47.698
     188.041      -0.199      19.341      47.698
     190.045      -0.236      19.367      47.698
     192.049      -0.273      19.394      47.697
     194.054      -0.308      19.421      47.697
     196.058      -0.344      19.448      47.697
     198.063      -0.378      19.474      47.697
     200.068      -0.423      19.501      47.696
     202.080      -0.456      19.528      47.696
     204.084      -0.488      19.554      47.696
     206.089      -0.530      19.581      47.695
     208.094      -0.561      19.608      47.695
     210.098      -0.603      19.635      47.694
     212.103      -0.643      19.661      47.694
     214.108      -0.672      19.688      47.694
     216.113      -0.711      19.715      47.693
     218.125      -0.750      19.741      47.693
     220.130      -0.788      19.768      47.693
     222.135      -0.825      19.795      47.692
     224.140      -0.861      19.822      47.692
     226.144      -0.897      19.848      47.691
     228.150      -0.931      19.875      47.691
     230.154      -0.966      19.902      47.691
     232.160      -0.999      19.928      47.690
     234.165      -1.043      19.955      47.690
     236.170      -1.075      19.982      47.689
     238.175      -1.107      20.008      47.689
     240.180      -1.149      20.035      47.688
     242.185      -1.190      20.062      47.688
     244.190      -1.219      20.088      47.688
     246.196      -1.259      20.115      47.687
     248.201      -1.298      20.142      47.687
     250.206      -1.325      20.169      47.686
     252.219      -1.363      20.195      47.686
     254.225      -1.400      20.222      47.685
     256.230      -1.436      20.249      47.685
     258.236      -1.471      20.275      47.684
     260.241      -1.518      20.302      47.683
     262.247      -1.552      20.329      47.683
     264.253      -1.585      20.356      47.682
     266.258      -1.618      20.382      47.682
     268.256      -1.661      20.409      47.681
     270.262      -1.692      20.436      47.681
     272.268      -1.734      20.462      47.680
     274.274      -1.764      20.489      47.680
     276.280      -1.804      20.516      47.679
     278.286      -1.843      20.542      47.679
     280.291      -1.871      20.569      47.678
     282.298      -1.909      20.596      47.678
     284.304      -1.947      20.622      47.677
     286.310      -1.984      20.649      47.676
     288.316      -2.020      20.676      47.676
     290.322      -2.055      20.703      47.675
     292.328      -2.090      20.729      47.674
     294.335      -2.135      20.756      47.674
     296.341      -2.168      20.783      47.673
     298.340      -2.201      20.809      47.673
     300.346      -2.244      20.836      47.672
     302.353      -2.275      20.863      47.671
     304.360      -2.316      20.889      47.671
     306.366      -2.346      20.916      47.670
     308.373      -2.386      20.943      47.669
     310.379      -2.426      20.969      47.669
     312.379      -2.454      20.996      47.668
     314.385      -2.491      21.023      47.667
     316.392      -2.529      21.049      47.667
     318.399      -2.565      21.076      47.666
     320.406      -2.601      21.103      47.665
     322.413      -2.636      21.130      47.665
     324.413      -2.671      21.156      47.664
