CMDLINE /users/p6065/anaconda3/envs/supergeo/bin/python3.9 seqproc_test.py
MEM 1.070312 1669892475.1419
MEM 14.472656 1669892475.2424
MEM 24.273438 1669892475.3429
MEM 34.359375 1669892475.4433
MEM 39.902344 1669892475.5438
MEM 40.675781 1669892475.6441
MEM 45.332031 1669892475.7446
MEM 54.304688 1669892475.8449
MEM 64.734375 1669892475.9451
MEM 73.496094 1669892476.0454
MEM 80.140625 1669892476.1458
MEM 82.855469 1669892476.2461
MEM 85.375000 1669892476.3464
MEM 89.667969 1669892476.4468
MEM 95.714844 1669892476.5472
MEM 103.062500 1669892476.6476
MEM 110.019531 1669892476.7479
MEM 121.328125 1669892476.8484
MEM 141.113281 1669892476.9488
MEM 142.421875 1669892477.0493
MEM 150.867188 1669892477.1497
MEM 160.515625 1669892477.2501
MEM 183.417969 1669892477.3506
MEM 259.781250 1669892477.4512
MEM 260.070312 1669892477.5517
MEM 260.070312 1669892477.6523
MEM 260.070312 1669892477.7528
MEM 260.070312 1669892477.8533
MEM 260.070312 1669892477.9538
MEM 260.070312 1669892478.0543
MEM 260.070312 1669892478.1549
MEM 260.070312 1669892478.2554
MEM 260.070312 1669892478.3559
MEM 260.070312 1669892478.4564
MEM 260.070312 1669892478.5570
MEM 260.070312 1669892478.6575
MEM 260.070312 1669892478.7580
MEM 260.070312 1669892478.8584
MEM 260.070312 1669892478.9590
MEM 260.070312 1669892479.0595
MEM 260.070312 1669892479.1599
MEM 260.070312 1669892479.2604
MEM 260.070312 1669892479.3610
MEM 260.070312 1669892479.4615
MEM 260.070312 1669892479.5621
MEM 260.070312 1669892479.6626
MEM 260.070312 1669892479.7631
MEM 260.070312 1669892479.8636
MEM 260.070312 1669892479.9641
MEM 260.070312 1669892480.0646
MEM 260.070312 1669892480.1651
MEM 260.070312 1669892480.2661
MEM 260.070312 1669892480.3665
MEM 260.070312 1669892480.4669
MEM 260.070312 1669892480.5675
MEM 260.070312 1669892480.6680
MEM 260.070312 1669892480.7685
MEM 260.070312 1669892480.8691
MEM 260.070312 1669892480.9695
MEM 260.070312 1669892481.0700
MEM 260.070312 1669892481.1705
MEM 260.070312 1669892481.2709
MEM 260.070312 1669892481.3714
MEM 260.070312 1669892481.4719
MEM 260.070312 1669892481.5724
MEM 260.070312 1669892481.6729
MEM 260.070312 1669892481.7735
MEM 260.070312 1669892481.8740
MEM 260.070312 1669892481.9745
MEM 260.070312 1669892482.0749
MEM 260.070312 1669892482.1754
MEM 260.070312 1669892482.2758
MEM 260.070312 1669892482.3762
MEM 260.070312 1669892482.4766
MEM 260.070312 1669892482.5771
MEM 260.070312 1669892482.6775
MEM 260.070312 1669892482.7780
MEM 260.070312 1669892482.8785
MEM 260.070312 1669892482.9791
MEM 260.070312 1669892483.0796
MEM 260.070312 1669892483.1802
MEM 260.070312 1669892483.2806
MEM 260.070312 1669892483.3811
MEM 260.070312 1669892483.4816
MEM 260.070312 1669892483.5820
MEM 260.070312 1669892483.6825
MEM 260.070312 1669892483.7830
MEM 260.070312 1669892483.8836
MEM 260.070312 1669892483.9841
MEM 260.070312 1669892484.0847
MEM 260.070312 1669892484.1852
MEM 260.070312 1669892484.2857
MEM 260.070312 1669892484.3861
MEM 260.070312 1669892484.4866
MEM 260.070312 1669892484.5870
MEM 260.070312 1669892484.6875
MEM 260.070312 1669892484.7879
MEM 260.070312 1669892484.8884
MEM 260.070312 1669892484.9889
MEM 260.070312 1669892485.0894
MEM 260.070312 1669892485.1899
MEM 260.070312 1669892485.2904
MEM 260.070312 1669892485.3909
MEM 260.070312 1669892485.4914
MEM 260.070312 1669892485.5918
MEM 260.070312 1669892485.6923
MEM 260.070312 1669892485.7927
MEM 260.070312 1669892485.8932
MEM 260.070312 1669892485.9937
MEM 260.070312 1669892486.0942
MEM 260.070312 1669892486.1948
MEM 260.070312 1669892486.2953
MEM 260.070312 1669892486.3958
MEM 260.070312 1669892486.4963
MEM 260.070312 1669892486.5967
MEM 260.070312 1669892486.6972
MEM 260.070312 1669892486.7977
MEM 260.070312 1669892486.8981
MEM 260.070312 1669892486.9986
MEM 260.070312 1669892487.0991
MEM 260.070312 1669892487.1995
MEM 260.070312 1669892487.3001
MEM 260.070312 1669892487.4007
MEM 260.070312 1669892487.5011
MEM 260.070312 1669892487.6017
MEM 260.070312 1669892487.7022
MEM 260.070312 1669892487.8026
MEM 260.070312 1669892487.9031
MEM 260.070312 1669892488.0036
MEM 260.070312 1669892488.1041
MEM 260.070312 1669892488.2045
MEM 260.070312 1669892488.3051
MEM 260.070312 1669892488.4057
MEM 260.070312 1669892488.5062
MEM 260.070312 1669892488.6068
MEM 260.070312 1669892488.7072
MEM 260.070312 1669892488.8077
MEM 260.070312 1669892488.9081
MEM 260.070312 1669892489.0086
MEM 260.070312 1669892489.1091
MEM 260.070312 1669892489.2095
MEM 260.070312 1669892489.3100
MEM 260.070312 1669892489.4105
MEM 260.070312 1669892489.5111
MEM 260.070312 1669892489.6116
MEM 260.070312 1669892489.7122
MEM 260.070312 1669892489.8127
MEM 260.070312 1669892489.9132
MEM 260.070312 1669892490.0136
MEM 260.070312 1669892490.1141
MEM 260.070312 1669892490.2145
MEM 260.070312 1669892490.3149
MEM 260.070312 1669892490.4153
MEM 260.070312 1669892490.5163
MEM 260.070312 1669892490.6168
MEM 260.070312 1669892490.7173
MEM 260.070312 1669892490.8178
MEM 260.070312 1669892490.9183
MEM 260.070312 1669892491.0187
MEM 260.070312 1669892491.1192
MEM 260.070312 1669892491.2197
MEM 260.070312 1669892491.3201
MEM 260.070312 1669892491.4206
MEM 260.070312 1669892491.5210
MEM 260.070312 1669892491.6215
MEM 260.070312 1669892491.7220
MEM 260.070312 1669892491.8225
MEM 260.070312 1669892491.9231
MEM 260.070312 1669892492.0236
MEM 260.070312 1669892492.1242
MEM 260.070312 1669892492.2246
MEM 260.070312 1669892492.3251
MEM 260.070312 1669892492.4256
MEM 260.070312 1669892492.5260
MEM 260.070312 1669892492.6265
MEM 260.070312 1669892492.7270
MEM 260.070312 1669892492.8275
MEM 260.070312 1669892492.9281
MEM 260.070312 1669892493.0286
MEM 260.070312 1669892493.1291
MEM 260.070312 1669892493.2296
MEM 260.070312 1669892493.3300
MEM 260.070312 1669892493.4305
MEM 260.070312 1669892493.5309
MEM 260.070312 1669892493.6313
MEM 260.070312 1669892493.7317
MEM 260.070312 1669892493.8322
MEM 260.070312 1669892493.9326
MEM 260.070312 1669892494.0332
MEM 260.070312 1669892494.1337
MEM 260.070312 1669892494.2342
MEM 260.070312 1669892494.3348
MEM 260.070312 1669892494.4353
MEM 260.070312 1669892494.5357
MEM 260.070312 1669892494.6362
