              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     233.883      92.979      19.959      48.535
     235.884      92.947      19.986      48.535
     237.893      92.905      20.013      48.534
     239.895      92.874      20.040      48.534
     241.904      92.833      20.067      48.533
     243.906      92.793      20.094      48.533
     245.915      92.764      20.122      48.533
     247.917      92.725      20.149      48.532
     249.927      92.687      20.176      48.532
     251.928      92.649      20.203      48.531
     253.938      92.613      20.230      48.530
     255.940      92.577      20.257      48.530
     257.949      92.542      20.285      48.529
     259.951      92.507      20.312      48.529
     261.961      92.473      20.339      48.528
     233.915      94.981      19.959      48.553
     235.923      94.938      19.987      48.553
     237.924      94.906      20.014      48.552
     239.933      94.865      20.041      48.552
     241.941      94.835      20.068      48.551
     243.942      94.794      20.095      48.551
     245.951      94.755      20.122      48.550
     247.959      94.727      20.150      48.550
     249.960      94.689      20.177      48.549
     251.969      94.652      20.204      48.549
     253.970      94.615      20.231      48.549
     255.979      94.579      20.258      48.548
     257.988      94.544      20.285      48.548
     259.989      94.509      20.312      48.547
     261.998      94.464      20.340      48.546
     233.955      96.983      19.960      48.571
     235.962      96.940      19.987      48.571
     237.962      96.908      20.014      48.570
     239.970      96.867      20.042      48.570
     241.978      96.837      20.069      48.569
     243.978      96.797      20.096      48.569
     245.986      96.757      20.123      48.568
     247.994      96.718      20.150      48.568
     250.002      96.691      20.177      48.568
     252.002      96.654      20.205      48.567
     254.010      96.617      20.232      48.567
     256.018      96.581      20.259      48.566
     258.019      96.535      20.286      48.565
     260.027      96.500      20.313      48.565
     262.035      96.466      20.340      48.564
     233.987      98.973      19.961      48.589
     235.994      98.941      19.988      48.589
     238.001      98.899      20.015      48.588
     240.007      98.868      20.042      48.588
     242.015      98.827      20.069      48.587
     244.022      98.798      20.097      48.587
     246.021      98.759      20.124      48.586
     248.028      98.720      20.151      48.586
     250.036      98.682      20.178      48.585
     252.043      98.645      20.205      48.585
     254.043      98.608      20.233      48.584
     256.050      98.572      20.260      48.584
     258.057      98.537      20.287      48.583
     260.064      98.503      20.314      48.583
     262.072      98.469      20.341      48.582
     234.026     100.975      19.961      48.607
     236.032     100.943      19.989      48.607
     238.039     100.901      20.016      48.606
     240.045     100.871      20.043      48.606
     242.051     100.830      20.070      48.605
     244.058     100.789      20.097      48.605
     246.056     100.761      20.125      48.604
     248.063     100.722      20.152      48.604
     250.069     100.684      20.179      48.603
     252.076     100.647      20.206      48.603
     254.082     100.610      20.233      48.602
     256.089     100.574      20.260      48.602
     258.095     100.539      20.288      48.601
     260.102     100.504      20.315      48.601
     262.109     100.471      20.342      48.600
     234.066     102.977      19.962      48.625
     236.071     102.945      19.989      48.625
     238.077     102.903      20.017      48.624
     240.082     102.872      20.044      48.624
     242.088     102.831      20.071      48.623
     244.093     102.791      20.098      48.623
     246.099     102.763      20.125      48.622
     248.105     102.724      20.153      48.622
     250.111     102.686      20.180      48.621
     252.116     102.649      20.207      48.621
     254.122     102.612      20.234      48.620
     256.128     102.576      20.261      48.620
     258.134     102.541      20.288      48.619
     260.140     102.507      20.316      48.619
     262.138     102.462      20.343      48.618
     234.098     104.979      19.963      48.643
     236.103     104.936      19.990      48.643
     238.107     104.905      20.017      48.642
     240.120     104.863      20.044      48.642
     242.124     104.834      20.072      48.641
     244.129     104.793      20.099      48.641
     246.134     104.754      20.126      48.640
     248.139     104.726      20.153      48.640
     250.144     104.688      20.180      48.639
     252.149     104.651      20.208      48.639
     254.154     104.614      20.235      48.638
     256.159     104.579      20.262      48.638
     258.165     104.543      20.289      48.637
     260.170     104.498      20.316      48.637
     262.175     104.464      20.344      48.636
     234.137     106.981      19.963      48.661
